mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22.82055559158325,0.16511990815189087,0.1948472023010254,0.034406044861929996,0.05,3,100,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",-479.68788748727786,-438.8306801454474,-447.8512779027924,-426.8050783176808,-438.321863798133,-446.2993575302663,17.981384038365317,15
27.478294563293456,0.2111051737265939,0.11077065467834472,0.028309851084837755,0.05,3,100,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",-480.5189094165713,-442.9055124192286,-447.5856657144633,-434.52836568280384,-445.06676083310214,-450.1210428132338,15.81897377431673,16
35.43324904441833,0.4189594249967805,0.19346389770507813,0.0458945473740373,0.05,3,150,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 150, 'model__subsample': 0.8}",-475.7472929913996,-431.8020560252381,-444.8604848389804,-419.02170865822836,-435.0985541064591,-441.30601932406114,19.101225099923383,11
42.69371981620789,0.20339654087075773,0.15804944038391114,0.022864143831452664,0.05,3,150,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 150, 'model__subsample': 1.0}",-475.99047891425766,-435.33132067076343,-443.32693859415883,-428.05574273211863,-437.0783020650723,-443.9565565952742,16.739830104349505,14
36.96058692932129,0.3248904654150417,0.16419806480407714,0.014898314547888944,0.05,5,100,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.8}",-452.530735794825,-430.4149246392841,-428.1772694823659,-403.38366550571686,-416.9857036909128,-426.29845982262094,16.25067836344647,4
44.27149848937988,0.6403976587464197,0.18978986740112305,0.025090518874879834,0.05,5,100,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",-458.10465154482534,-427.6281698669355,-431.22908058963696,-416.5850688445039,-421.0195194352621,-430.9132980562328,14.515140358361894,8
54.50695405006409,0.4250962501076257,0.15928635597229004,0.025422749948302292,0.05,5,150,0.8,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 150, 'model__subsample': 0.8}",-447.7248604601691,-427.1007360324813,-426.68528907164176,-397.04435041675515,-412.03526913551883,-422.1181010233133,16.921870201120118,1
66.02413306236267,0.27903674946977447,0.16532649993896484,0.003700703222165528,0.05,5,150,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 150, 'model__subsample': 1.0}",-454.6504199665217,-425.8615510182908,-432.156623564056,-412.63271979234054,-416.6327483048706,-428.38681252921594,14.810232680886358,5
23.462282562255858,0.34517486180220175,0.1441375732421875,0.030190096687660418,0.1,3,100,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",-478.1123714667306,-435.7528223502607,-447.7006576370586,-419.4031544949325,-435.67326373721716,-443.32845393723994,19.582896457037993,13
27.876790523529053,0.29348390068847113,0.1597696304321289,0.0636960316532373,0.1,3,100,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",-475.5859354555478,-433.3763207669539,-444.96883436586825,-423.7531484425264,-432.3893812220657,-442.0147240505924,18.091475243868786,12
34.46422319412231,0.5206331270680612,0.15896992683410643,0.02403682591011336,0.1,3,150,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 150, 'model__subsample': 0.8}",-473.8493340787101,-427.6078230561951,-443.8887501350457,-412.38020194968624,-435.58743733915634,-438.6627093117587,20.434520137469423,9
42.096869707107544,0.7475291291860376,0.17796425819396972,0.018309886028489056,0.1,3,150,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 150, 'model__subsample': 1.0}",-474.03332974166096,-428.5470325936245,-443.1635926517772,-420.50811124695207,-430.771549759006,-439.4047231986042,18.77643503353499,10
37.279991674423215,0.4612505653217905,0.1642606258392334,0.015702670790614277,0.1,5,100,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.8}",-455.32558306131926,-431.8573671113754,-428.9878381275394,-391.78054382273393,-416.4073283631722,-424.87173209722806,20.783894418216438,3
44.56634421348572,0.46063823752075445,0.13201556205749512,0.04156919010275931,0.1,5,100,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",-456.92858726165485,-423.30882699317016,-436.4867614015183,-402.8700822523777,-426.373457011249,-429.19354298399395,17.651804825823337,6
50.50641832351685,1.6016227969817125,0.14689064025878906,0.05644227471942662,0.1,5,150,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 150, 'model__subsample': 0.8}",-453.059469698383,-433.39723460464654,-429.47043392003553,-390.5275676437872,-417.7891191179491,-424.8487649969603,20.581852218454106,2
55.47974691390991,0.881014139191104,0.0980351448059082,0.04274650123305895,0.1,5,150,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 150, 'model__subsample': 1.0}",-458.4526471841412,-422.02740997333973,-441.02875880225156,-398.12630064154547,-428.2880306810694,-429.58462945646954,20.06364737796497,7
