Combination_Index,n_estimators,max_depth,min_samples_leaf,MSE,RMSE,MAE,R2
1,100,8,1,176901.13644437192,420.59616789073567,270.23071266055075,0.8063402809647837
2,150,8,1,175499.3814273497,418.9264630306251,269.01052741666484,0.8078748300819292
3,200,8,1,174498.8800111797,417.7306309228229,268.3445165433184,0.8089701131708015
4,100,8,2,175732.90337006838,419.20508509567054,268.8761647240101,0.8076191856314501
5,150,8,2,174938.440994015,418.2564297103094,268.4494646382971,0.8084889107424525
6,200,8,2,174515.51305611175,417.7505392648964,268.0012621657355,0.808951904408139
7,100,8,3,175638.2484878042,419.0921718283511,269.45801894409567,0.8077228075655598
8,150,8,3,174743.25469479265,418.0230312970718,268.72371489400484,0.8087025878540114
9,200,8,3,174240.8413565851,417.4216589452266,268.2297643348307,0.8092525969035429
10,100,8,4,176582.7958245283,420.2175577299553,270.3676281593994,0.8066887793194893
11,150,8,4,175987.6502620642,419.50882024346544,269.85708658650685,0.8073403055037097
12,200,8,4,175438.2867014974,418.8535384851098,269.2659551682447,0.8079417125660155
13,100,10,1,168984.6065606822,411.0773729612008,260.18626479635094,0.8150067767478187
14,150,10,1,167867.0529588825,409.71581975667294,259.4313247444112,0.8162302008641437
15,200,10,1,167165.3240755719,408.8585624339692,258.89158199871986,0.8169984074518021
16,100,10,2,169714.62032398762,411.9643435104398,261.1263415646726,0.8142076057354944
17,150,10,2,169154.24868481423,411.2836596374991,260.74969367474085,0.8148210637176129
18,200,10,2,168565.6229560115,410.5674402044218,259.95825878013204,0.815465452417132
19,100,10,3,169884.4936544358,412.17046674214276,262.06890996092244,0.8140216395958336
20,150,10,3,168461.33822058715,410.4404198182571,261.1761406193493,0.8155796164805623
21,200,10,3,168133.9571684991,410.04140908998335,260.5345430439794,0.8159380117053706
22,100,10,4,171242.73041822738,413.81485040803864,263.04052400900935,0.8125347313975819
23,150,10,4,170504.31951590363,412.92168690431316,262.3893518876485,0.8133430950449321
24,200,10,4,170030.23399903454,412.347225041026,261.67502679241244,0.8138620926604414
25,100,12,1,166360.8638788046,407.8735881113223,255.79524758689885,0.8178790775187802
26,150,12,1,165767.50403677308,407.1455563269395,256.03971021517833,0.8185286488138224
27,200,12,1,164487.303396278,405.57034333920177,254.94500973860093,0.8199301282012933
28,100,12,2,166201.68035667817,407.67840310308094,257.3973874931325,0.8180533411599848
29,150,12,2,165813.20585668727,407.20167712902077,256.9178018867546,0.8184786174698645
30,200,12,2,165349.7766270549,406.6322375649217,256.2381649118876,0.818985949283595
31,100,12,3,168034.0120947309,409.9195190457889,259.3972227179164,0.8160474249928935
32,150,12,3,166282.06401407017,407.7769782786544,258.5539518091887,0.8179653424234111
33,200,12,3,165869.77597420916,407.2711332444385,258.0188705790265,0.8184166882291299
34,100,12,4,169969.80954037208,412.2739496261825,261.29445508010934,0.813928241380131
35,150,12,4,168886.61082070635,410.95816188598366,260.6212202735982,0.8151140560330276
36,200,12,4,168411.38733303008,410.37956495545694,259.9480408135269,0.8156342994240656
37,100,None,1,166252.4391661772,407.7406518440088,255.60428237061896,0.8179977737567238
38,150,None,1,164681.62430663733,405.80983761687855,254.78746857245886,0.8197173984604944
39,200,None,1,163299.3146371384,404.1030990194685,253.7766204873272,0.8212306600912301
40,100,None,2,166123.8364522395,407.58291972583874,256.28470245757205,0.8181385595422135
41,150,None,2,165016.44486371076,406.2221619553896,255.5407332899483,0.8193508589553599
42,200,None,2,164147.71883449407,405.15147640665714,254.81758016101963,0.8203018830251774
43,100,None,3,167531.5424259406,409.3061719861314,258.3339856450936,0.8165974957094388
44,150,None,3,165157.99108039244,406.39634727737456,257.04963131817226,0.819195903475118
45,200,None,3,164629.45374085457,405.74555295265355,256.55144376942604,0.8197745113616011
46,100,None,4,169362.79724521004,411.537115270555,260.46559277410563,0.8145927584821394
47,150,None,4,167994.64842322018,409.87150233118206,259.5501937865747,0.8160905177492103
48,200,None,4,167463.1525580221,409.2226198025008,258.84022979314295,0.8166723644348306
