Combination_Index,n_estimators,learning_rate,max_depth,MSE,RMSE,MAE,R2
1,50,0.01,3,533199.9191709743,730.2053951943757,659.8632617773258,0.4162878282654692
2,50,0.01,5,476489.93170319666,690.2825013740364,620.9391480802841,0.47837018940933884
3,50,0.01,7,454071.51058518415,673.8482845457011,604.9636279928943,0.5029124010773385
4,100,0.01,3,367142.4349305982,605.9227961800069,533.6392497816639,0.5980766306895771
5,100,0.01,5,303261.1113504846,550.6914847266885,476.3818010268161,0.6680096985306239
6,100,0.01,7,281641.54675553227,530.6991113197122,455.244678214889,0.6916773746647382
7,150,0.01,3,285875.1893570221,534.6729742160362,451.62924321478715,0.6870426614391516
8,150,0.01,5,231995.27793754725,481.6588813024704,390.49794120047477,0.7460268416251223
9,150,0.01,7,214397.40845842764,463.0306776644801,367.8955350668306,0.7652918306887534
10,50,0.05,3,217561.817163293,466.4352229016297,357.99157735713766,0.7618276443470815
11,50,0.05,5,179736.11190824452,423.95295954650976,303.67826438140844,0.8032367364492405
12,50,0.05,7,177414.34061823404,421.20581740787253,285.62257403031714,0.8057784588187226
13,100,0.05,3,186884.1127480617,432.3009515928246,299.1220653114392,0.7954115756722899
14,100,0.05,5,164441.26715637455,405.51358442889995,266.3243368151806,0.819980525646241
15,100,0.05,7,165008.05464149045,406.2118346891071,250.12829015931976,0.8193600440183305
16,150,0.05,3,183099.9711918665,427.90182424461165,290.2028245962684,0.7995542047434869
17,150,0.05,5,162469.22085890122,403.07470878101645,260.6947758939163,0.8221393921157802
18,150,0.05,7,162794.52725626368,403.4780381337548,245.63541351198495,0.8217832680863939
19,50,0.1,3,188084.0777848522,433.6866124113727,300.6991206543291,0.7940979329419617
20,50,0.1,5,166682.8053799367,408.2680557917025,266.8509692138889,0.8175266371562807
21,50,0.1,7,166579.69361394458,408.141756763437,255.45942151468043,0.8176395171299916
22,100,0.1,3,180797.22558519602,425.2025700594906,286.89391731993425,0.8020750990472814
23,100,0.1,5,163212.05917228607,403.9951227085372,260.6098448799196,0.8213261816302504
24,100,0.1,7,165119.05832227305,406.34844446887337,252.920481790628,0.8192385244958204
25,150,0.1,3,180182.03178835736,424.4785410222257,285.5055018067903,0.802748572718749
26,150,0.1,5,164371.65567529542,405.4277440867798,259.6601693499265,0.8200567317133041
27,150,0.1,7,164183.13608189113,405.1951826982783,251.25796951490497,0.8202631105541929
